x y
895.8592761443367 393.342059170935
692.8193317346205 889.6345494577296
690.1177778049995 899.4200361497434
1212.3264585655095 1498.9004936465947
913.7311510616228 415.59891196154297
412.40655735241364 598.0585060308844
1197.732476609251 1499.6830182560682
698.8413288903478 892.1171008559085
700.7054254448709 892.3127155444162
696.8674010145946 916.1811669975127
1211.2673268670671 1484.2324218193498
211.96331690494569 203.29394006206084
1201.7671825088876 1502.6119783229124
891.0605963752346 381.235121844176
1181.9750802601989 1499.6850432210504
198.4380657996665 200.13742873577425
1001.3014810191917 681.2844533311089
202.6800893415439 186.83682917899773
983.0462180781085 692.4178196177431
701.0564665968203 898.5952148923625
1000.64447653798 689.5670768807798
1000.1736739083517 705.1527445249897
1186.0698595074095 1500.203221155522
988.5791679631764 715.7526199306751
1200.4326294349437 1499.9892003447833
691.0583729824115 889.4261910934293
1005.7625324998382 712.1972998503019
402.94315232034893 594.7685093376571
1001.1841299677482 706.257292367926
1206.9515188020118 1500.0959703439187
1194.424119780099 1505.8929755758327
211.8138682052621 206.21736049834414
891.108005126289 400.42343841685863
685.5777979966136 904.8671571004163
701.6636272326675 893.335966023066
398.8087019641055 588.2001559725911
400.9012694646293 594.2131077575546
409.0877270865348 600.4769505133742
895.6738182811629 406.7513077654578
905.3540157707753 399.2314470186271
891.0756284532878 389.94083442534173
211.31695710641364 202.12579249264806
407.55860516145594 597.051002482755
990.2033713011509 699.7339765781081
896.8876230894576 397.1627351102835
386.5056808652261 608.1156706382861
910.2912996849897 393.39638438596825
204.14511585013267 196.05380716783316
393.48588357014927 596.4940279346108
899.6030021500875 401.70286300686234
1196.583249784132 1486.8834111962587
1004.6935861192993 693.8795549609268
204.30747376568794 208.17377727126473
388.7973237894639 589.8703291261304
693.3506622641944 884.5733053305958
201.27064039128157 205.2393575198033
397.5397868289493 595.606553660142
1001.1885203647912 714.8374216366295
200.68708351187658 206.01529898708654
197.41133493876436 180.0018277299003
